Competition,Season,Gender,Matches
FIFA World Cup,1958,Male,2
FIFA World Cup,1962,Male,1
Champions League,1970/1971,Male,1
FIFA World Cup,1970,Male,6
Champions League,1971/1972,Male,1
Champions League,1972/1973,Male,1
La Liga,1973/1974,Male,1
FIFA World Cup,1974,Male,6
Copa del Rey,1977/1978,Male,1
North American League,1977,Male,1
FIFA U20 World Cup,1979,Male,1
Liga Profesional,1981,Male,1
Copa del Rey,1982/1983,Male,1
Copa del Rey,1983/1984,Male,1
FIFA World Cup,1986,Male,3
Serie A,1986/1987,Male,1
UEFA Europa League,1988/1989,Male,3
FIFA World Cup,1990,Male,1
Liga Profesional,1997/1998,Male,1
Champions League,1999/2000,Male,1
Champions League,2003/2004,Male,1
Premier League,2003/2004,Male,38
Champions League,2004/2005,Male,1
La Liga,2004/2005,Male,7
La Liga,2005/2006,Male,17
Champions League,2006/2007,Male,1
La Liga,2006/2007,Male,26
La Liga,2007/2008,Male,28
Champions League,2008/2009,Male,1
La Liga,2008/2009,Male,31
Champions League,2009/2010,Male,1
La Liga,2009/2010,Male,35
Champions League,2010/2011,Male,1
La Liga,2010/2011,Male,33
Champions League,2011/2012,Male,1
La Liga,2011/2012,Male,37
Champions League,2012/2013,Male,1
La Liga,2012/2013,Male,32
Champions League,2013/2014,Male,1
La Liga,2013/2014,Male,31
Champions League,2014/2015,Male,1
La Liga,2014/2015,Male,38
1. Bundesliga,2015/2016,Male,306
Champions League,2015/2016,Male,1
La Liga,2015/2016,Male,380
Ligue 1,2015/2016,Male,377
Premier League,2015/2016,Male,380
Serie A,2015/2016,Male,380
Champions League,2016/2017,Male,1
La Liga,2016/2017,Male,34
Champions League,2017/2018,Male,1
La Liga,2017/2018,Male,36
Champions League,2018/2019,Male,1
FA Women's Super League,2018/2019,Female,108
FIFA World Cup,2018,Male,64
La Liga,2018/2019,Male,34
NWSL,2018,Female,36
FA Women's Super League,2019/2020,Female,87
La Liga,2019/2020,Male,33
Women's World Cup,2019,Female,52
FA Women's Super League,2020/2021,Female,131
La Liga,2020/2021,Male,35
UEFA Euro,2020,Male,51
Indian Super league,2021/2022,Male,115
Ligue 1,2021/2022,Male,26
FIFA World Cup,2022,Male,64
Ligue 1,2022/2023,Male,32
UEFA Women's Euro,2022,Female,31
1. Bundesliga,2023/2024,Male,34
African Cup of Nations,2023,Male,52
Major League Soccer,2023,Male,6
Women's World Cup,2023,Female,64
Copa America,2024,Male,32
UEFA Euro,2024,Male,51
UEFA Women's Euro,2025,Female,31
TOTAL,75 pairs | 21 competitions,,"3,464"
