season,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_attempted_per90,shots_on_target,shots_on_target_per90,goals,goals_per90,xg_total,xg_total_per90,headers,assists,assists_per90,key_passes,key_passes_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_accuracy,progressive_passes,progressive_passes_per90,crosses,crosses_per90,switches,carries_attempted,carries_attempted_per90,carry_distance_total,carry_distance_total_per90,progressive_carries,carries_to_penalty_area,carries_to_penalty_area_per90,dribbles_attempted,dribbles_attempted_per90,dribbles_completed,dribbles_completed_per90,dribbles_success_rate,dribble_overruns,duels_attempted,duels_attempted_per90,duels_won,duels_won_per90,duels_lost,interceptions_attempted,interceptions_attempted_per90,duels_success_rate,interceptions_won,interceptions_won_per90,interceptions_lost,blocks,blocks_per90,interceptions_ratio,clearances,clearances_per90,ball_recoveries,ball_recoveries_per90,pressures,pressures_per90,dispossessed,fouls_committed,fouls_committed_per90,fouls_won,fouls_balance,own_goals,gk_goals_conceded,gk_goals_conceded_per90,gk_shots_faced,gk_shots_faced_per90,gk_saves,gk_saves_per90,gk_penalties_saved,gk_save_ratio,gk_clean_sheet,teams,competitions,main_role,avg_pass_angle,avg_pass_length,team_league_position,macro_role,goal_contribution,goal_contribution_per90
2015/2016,2936,Christophe Kerbrat,29,29,28,2755,0,1,7,0,4,0.13,0,0.0,0,0.0,0.2,0.01,2,0,0.0,4,0.13,1107,36.16,872,28.49,0.7877145438121048,384,12.54,4,0.13,51,706,23.06,4825.77,157.65,108,4,0.13,3,0.1,2,0.07,0.6666666666666666,0,115,3.76,17,0.56,98,56,1.83,0.14782608695652175,15,0.49,41,52,1.7,0.26785714285714285,177,5.78,113,3.69,343,11.21,3,26,0.85,21,-5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['Guingamp'],['France - Ligue 1'],Right Center Back,-11.83,738.87,16,DEF,0,0.0
2015/2016,2943,Lucas Deaux,16,13,10,1266,3,3,3,0,4,0.28,1,0.07,0,0.0,0.28,0.02,0,0,0.0,5,0.36,621,44.15,504,35.83,0.8115942028985508,190,13.51,6,0.43,41,453,32.2,2544.98,180.92,51,3,0.21,10,0.71,5,0.36,0.5,1,58,4.12,10,0.71,48,12,0.85,0.1724137931034483,7,0.5,5,35,2.49,0.5833333333333334,32,2.27,55,3.91,296,21.04,4,26,1.85,13,-13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Nantes'],['France - Ligue 1'],Right Defensive Midfield,4.51,359.65,13,MID,0,0.0
2015/2016,2944,Benjamin Corgnet,16,5,1,613,11,4,0,0,11,1.62,2,0.29,1,0.15,1.13,0.17,1,1,0.15,7,1.03,264,38.76,160,23.49,0.6060606060606061,48,7.05,9,1.32,1,192,28.19,1171.62,172.02,27,9,1.32,19,2.79,7,1.03,0.3684210526315789,4,39,5.73,2,0.29,37,6,0.88,0.05128205128205128,3,0.44,3,12,1.76,0.5,7,1.03,34,4.99,145,21.29,10,18,2.64,21,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Center Attacking Midfield,1.22,252.19,6,MID,2,0.29
2015/2016,2946,Frédéric Guilbert,29,28,26,2574,1,2,3,0,10,0.35,1,0.03,0,0.0,0.35,0.01,0,0,0.0,7,0.24,1236,43.22,930,32.52,0.7524271844660194,335,11.71,24,0.84,33,809,28.29,4801.8,167.9,97,3,0.1,31,1.08,17,0.59,0.5483870967741935,5,130,4.55,13,0.45,117,50,1.75,0.1,12,0.42,38,63,2.2,0.24,111,3.88,110,3.85,399,13.95,17,29,1.01,16,-13,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['Bordeaux'],['France - Ligue 1'],Right Center Back,-20.51,650.87,14,DEF,0,0.0
2015/2016,2947,Anthony Lopes,37,37,37,3548,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1065,27.02,760,19.28,0.7136150234741784,658,16.69,0,0.0,14,483,12.25,2282.09,57.89,38,0,0.0,1,0.03,1,0.03,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,2,0.05,0.0,4,0.1,166,4.21,4,0.1,0,0,0.0,8,8,0,43,1.09,213,5.4,105,2.66,0,0.49295774647887325,13,['Lyon'],['France - Ligue 1'],Goalkeeper,2.28,1435.7,2,GK,0,0.0
2015/2016,2948,Nabil Fekir,9,5,3,512,4,2,1,0,20,3.52,8,1.41,4,0.7,1.91,0.34,0,0,0.0,11,1.93,209,36.74,173,30.41,0.8277511961722488,29,5.1,7,1.23,15,237,41.66,1620.79,284.9,29,21,3.69,25,4.39,14,2.46,0.56,1,21,3.69,2,0.35,19,3,0.53,0.09523809523809523,1,0.18,2,5,0.88,0.3333333333333333,1,0.18,15,2.64,77,13.54,17,10,1.76,6,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Lyon'],['France - Ligue 1'],Right Wing,-3.0,166.83,2,FWD,4,0.7
2015/2016,2950,Jonas Martin,36,35,31,3303,1,4,5,0,31,0.84,12,0.33,4,0.11,3.4,0.09,3,3,0.08,23,0.63,2153,58.66,1850,50.41,0.8592661402693915,289,7.87,32,0.87,59,1804,49.16,10474.72,285.41,198,33,0.9,62,1.69,43,1.17,0.6935483870967742,5,120,3.27,14,0.38,106,52,1.42,0.11666666666666667,21,0.57,31,81,2.21,0.40384615384615385,41,1.12,229,6.24,670,18.26,71,44,1.2,49,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Montpellier'],['France - Ligue 1'],Left Defensive Midfield,8.69,637.71,11,MID,7,0.19
2015/2016,2953,Kader Mangane,30,27,26,2621,3,1,7,0,15,0.52,1,0.03,1,0.03,1.45,0.05,5,1,0.03,7,0.24,1006,34.54,753,25.86,0.7485089463220675,403,13.84,4,0.14,25,724,24.86,5186.11,178.08,102,3,0.1,10,0.34,7,0.24,0.7,1,112,3.85,20,0.69,92,40,1.37,0.17857142857142858,14,0.48,26,41,1.41,0.35,178,6.11,138,4.74,339,11.64,11,38,1.3,21,-17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Gazélec Ajaccio'],['France - Ligue 1'],Right Center Back,-3.04,779.72,19,DEF,2,0.07
2015/2016,2955,Ronny Rodelin,35,34,21,2981,1,13,1,0,76,2.29,28,0.85,10,0.3,5.46,0.16,14,2,0.06,36,1.09,1166,35.2,730,22.04,0.6260720411663808,270,8.15,66,1.99,51,845,25.51,4730.17,142.81,81,36,1.09,45,1.36,26,0.78,0.5777777777777777,0,127,3.83,11,0.33,116,27,0.82,0.08661417322834646,13,0.39,14,56,1.69,0.48148148148148145,39,1.18,160,4.83,389,11.74,40,21,0.63,44,23,1,0,0.0,0,0.0,0,0.0,0,0.0,0,"['Caen', 'Lille']",['France - Ligue 1'],Right Wing,-7.07,685.43,"[7, 5]",FWD,12,0.36
2015/2016,2956,Bertrand Traoré,10,4,0,424,6,4,0,0,17,3.61,6,1.27,2,0.42,1.61,0.34,0,1,0.21,4,0.85,137,29.08,115,24.41,0.8394160583941606,10,2.12,4,0.85,1,135,28.66,687.77,145.99,8,17,3.61,13,2.76,10,2.12,0.7692307692307693,1,17,3.61,2,0.42,15,3,0.64,0.11764705882352941,1,0.21,2,8,1.7,0.3333333333333333,4,0.85,14,2.97,92,19.53,6,4,0.85,5,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Chelsea'],['England - Premier League'],Center Forward,-3.7,159.88,10,FWD,3,0.64
