competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Spain - La Liga,2015/2016,['Athletic Club'],Goalkeeper,6576,Gorka Iraizoz,37,37,36,3424,0,0,1,1,0,0,0,0.0,0.0,0,0,3,1359,818,1097,0,29,-0.08,1830.03,726,4250.15,72,0,0,0,0,0,0,0,0,0,3,197,1,0,1,3,0,37,228,92,1,14
Spain - La Liga,2015/2016,['Athletic Club'],Goalkeeper,6662,Iago Herrerín,2,1,1,182,1,0,0,0,0,0,0,0.0,0.0,0,0,0,81,43,76,0,4,0.11,119.58,41,180.81,4,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,8,19,2,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Back,6649,De Marcos,34,33,30,3040,1,3,6,0,13,4,1,0.66,0.56,0,3,16,1618,1180,363,80,27,-31.6,659.74,1028,5937.37,151,34,64,27,7,141,23,81,30,73,64,185,579,28,40,23,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Back,6386,Eneko Bóveda,23,15,13,1569,8,2,1,0,5,0,0,0.33,0.33,3,0,10,956,725,212,29,35,-20.42,479.1,624,3850.92,90,4,18,12,2,73,9,47,16,36,70,78,253,7,22,8,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Center Back,26087,Carlos Gurpegi,15,12,10,1211,3,2,4,0,5,0,0,0.29,0.22,4,0,2,544,433,149,3,12,-3.03,322.69,311,1346.74,20,1,2,2,0,44,3,28,11,17,72,41,102,4,16,12,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Center Back,6788,Xabier Etxeita,30,28,26,2612,2,2,5,0,10,1,0,0.76,0.71,10,1,4,1193,944,365,1,43,-4.19,732.95,777,4568.75,106,6,6,6,0,92,6,60,9,58,124,79,264,3,29,7,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Left Center Back,4353,Aymeric Laporte,26,25,22,2326,1,1,8,2,20,6,3,3.0,2.04,6,1,5,1337,1093,415,7,53,16.64,635.16,861,5354.05,129,6,19,11,1,78,10,50,11,45,103,105,235,8,31,27,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Left Back,6789,Mikel Balenziaga,34,33,31,3066,1,2,6,0,8,0,0,0.17,0.17,0,3,20,1508,1153,340,81,29,37.53,659.27,938,5746.3,146,7,48,24,3,116,18,76,38,87,66,166,488,26,43,26,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Defensive Midfield,6388,Ander Iturraspe,16,7,2,760,9,5,1,0,4,1,0,0.11,0.11,0,1,3,417,333,101,6,14,-0.26,308.49,283,1339.98,24,2,5,2,0,40,2,17,4,23,17,45,176,9,22,8,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Defensive Midfield,12191,Gorka Elustondo,11,4,3,518,7,1,1,0,3,2,1,0.17,0.17,1,0,2,244,199,50,2,3,-5.03,238.56,164,871.89,14,2,5,5,0,24,0,18,9,10,19,26,105,6,10,1,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Right Defensive Midfield,6389,Mikel San José,34,30,25,2830,4,4,6,1,26,7,2,2.18,1.49,11,3,11,1541,1220,358,11,29,-3.87,693.05,1035,4980.71,74,12,28,15,2,141,21,69,28,64,58,157,596,21,61,32,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Athletic Club'],Left Defensive Midfield,6396,Beñat Etxebarria,36,32,22,3038,4,10,8,0,30,9,1,1.21,0.73,0,4,59,2157,1628,558,60,142,0.21,840.4,1494,7489.61,111,1,47,27,7,108,24,58,26,57,12,226,641,39,52,69,0,0,0,0,0,0
