competitions,season,main_team,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,goals,shots_on_target,xg_total,xg_avg,penalties,headers,assists,key_passes,passes_attempted,passes_completed,pass_accuracy,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_success_rate,dribble_overruns,duels_attempted,duels_won,duels_lost,duels_ratio,interceptions_attempted,interceptions_won,interceptions_lost,interceptions_ratio,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,fouls_balance,own_goals,gk_shots_faced,gk_saves,gk_save_ratio,gk_penalties_saved,gk_claims,gk_punches,gk_clearances,gk_smother,gk_sweeper,gk_errors,gk_goals_conceded,gk_clean_sheet
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Goalkeeper,3444,Danijel Subašić,36,36,36,3421.14,0,0,3,0,0,0,0,0.0,0.0,0,0,0,1,971,574,0.6,792,0,46,-1.03,1821.86,388,2496.04,49,0,3,3,1.0,0,0,0,0,,1,0,1,0.97,2,1,150,5,1,0,2,2,0,294.0,122.0,0.71,2.0,38.0,17.0,5.0,1.0,25.0,62.0,50.0,12.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Goalkeeper,24021,Paul Nardi,2,2,2,186.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,44,36,0.8,21,0,1,0.03,67.65,23,69.22,0,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,5,0,0,0,0,0,0,13.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Right Back,3204,Almamy Touré,10,9,7,803.56,1,2,3,0,10,3,4,1.57,0.71,0,5,2,6,464,330,0.72,147,29,11,-9.17,205.01,281,1392.71,26,8,19,8,0.28,1,32,5,27,0.13,11,3,8,0.47,24,39,29,117,15,14,8,-6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Right Back,3247,Fabinho,34,34,34,3232.68,0,0,9,0,28,6,16,5.46,3.78,6,0,4,21,1732,1382,0.79,438,61,45,-19.58,692.08,1239,7212.4,146,32,44,24,0.55,3,163,26,137,0.13,41,20,21,0.65,78,89,181,585,22,77,69,-8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Right Back,3217,Jemerson,4,3,3,306.48,1,0,2,0,1,0,0,0.06,0.06,0,1,0,2,110,84,0.75,35,4,2,-1.71,86.59,60,271.88,5,0,2,0,0.0,1,10,2,8,0.22,3,0,3,0.5,6,19,8,42,0,6,3,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Right Center Back,3374,Andrea Raggi,31,29,28,2757.34,2,1,5,0,8,2,4,0.91,0.71,0,3,1,4,1185,882,0.73,426,16,20,-3.64,738.0,703,3372.51,64,8,3,1,0.33,1,66,9,57,0.12,41,14,27,0.5,57,110,86,303,10,16,21,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Right Center Back,8277,Wallace,26,25,25,2394.98,1,0,6,1,13,1,5,1.0,0.8,0,10,0,3,995,762,0.75,370,1,28,-2.1,674.53,631,3951.87,58,0,5,5,1.0,0,61,8,53,0.17,34,8,26,0.5,51,126,105,216,9,37,15,-22,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Left Center Back,10805,Ricardo Carvalho,33,33,29,3044.02,0,4,8,0,8,2,5,0.64,0.59,0,8,0,3,1419,1248,0.87,423,3,35,5.9,746.23,946,4502.84,55,1,2,2,1.0,0,99,7,92,0.09,40,11,29,0.48,69,140,105,238,2,26,16,-10,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Left Back,27558,Elderson Uwa Echiejile,20,18,17,1684.87,2,1,4,1,6,0,1,0.49,0.49,0,2,1,8,888,640,0.72,280,32,17,17.2,380.76,534,2840.8,66,5,23,15,0.69,2,77,11,66,0.13,16,3,13,0.57,45,57,89,278,10,28,16,-12,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,AS Monaco,['AS Monaco'],Left Back,19047,Fábio Coentrão,15,13,8,1141.26,2,5,4,0,10,3,4,0.76,0.72,0,4,2,9,702,523,0.73,189,37,25,11.99,300.11,480,2908.85,73,15,21,11,0.52,0,51,6,45,0.14,14,5,9,0.63,31,25,57,170,8,19,24,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
