competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Italy - Serie A,2015/2016,['AC Milan'],Goalkeeper,26197,Christian Abbiati,1,0,0,79,1,0,0,0,0,0,0,0.0,0.0,0,0,0,26,13,18,0,0,0.15,39.62,11,46.83,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,5,0,1
Italy - Serie A,2015/2016,['AC Milan'],Goalkeeper,6768,Diego López,8,8,8,771,0,0,1,0,0,0,0,0.0,0.0,0,0,1,245,189,167,0,7,0.06,316.14,106,587.01,12,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,14,71,16,0,0
Italy - Serie A,2015/2016,['AC Milan'],Goalkeeper,7036,Gianluigi Donnarumma,30,30,29,2802,0,1,3,0,0,0,0,0.0,0.0,0,0,0,908,632,565,0,13,-1.13,1182.18,416,2216.38,23,0,0,0,0,0,0,0,0,0,0,148,4,0,1,6,0,29,234,83,0,11
Italy - Serie A,2015/2016,['AC Milan'],Right Back,7032,Davide Calabria,6,3,2,404,3,1,4,0,1,0,0,0.03,0.03,0,0,6,246,179,76,8,4,-6.41,122.99,172,891.96,16,0,6,3,0,31,7,6,1,14,12,30,88,6,8,7,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Back,7463,Ignazio Abate,27,27,23,2393,0,4,7,0,4,1,1,0.24,0.24,0,1,18,1632,1254,549,50,26,-21.16,567.42,1167,7211.36,169,16,38,21,2,102,28,33,10,51,76,114,402,11,42,18,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Center Back,40945,Alex Rodrigo Dias da Costa,25,24,21,2230,1,3,5,0,23,7,3,1.8,1.13,16,1,5,943,830,187,1,20,-5.68,541.82,603,3680.51,70,2,4,4,0,89,9,33,8,42,151,78,252,2,34,10,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Center Back,6360,Cristián Zapata,16,14,13,1424,2,1,3,0,3,1,1,0.12,0.12,3,0,3,658,539,166,0,31,-4.75,371.99,425,2555.12,38,1,6,4,0,42,6,14,8,40,76,74,222,9,21,12,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Right Center Back,20289,Philippe Mexès,5,4,4,429,1,0,4,0,5,4,1,0.3,0.24,2,0,2,227,192,75,0,5,-0.13,129.69,161,1247.3,34,0,1,0,0,12,1,9,2,7,20,13,28,0,4,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Back,7458,Alessio Romagnoli,34,33,32,3148,1,0,9,1,6,0,0,0.32,0.27,5,0,6,1583,1373,398,4,36,7.6,770.2,1039,7061.82,128,3,16,11,1,119,9,39,14,64,168,127,350,9,51,23,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AC Milan'],Left Center Back,6636,Rodrigo Ely,3,2,1,182,1,0,2,1,2,1,0,0.11,0.11,2,0,0,60,43,26,0,1,0.26,77.15,45,313.68,6,0,1,1,0,2,0,0,0,2,7,7,20,1,8,0,1,0,0,0,0,0
